Num,Q_1,Q_2,Q_3,Q_4,Average
67,0.7358408888158731,1.0,1.0,1.0,0.9339602222039682
68,0.5703611474503666,1.0,1.0,0.9896576993333308,0.8900047116959244
69,1.0,1.0,1.0,1.0,1.0
70,0.6512031537623909,1.0,1.0,0.9363351781789097,0.8968845829853251
71,0.7807371624626991,1.0,1.0,1.0,0.9451842906156748
72,0.5348472518142174,0.7693405221813656,1.0,0.9432391222163854,0.8118567240529921
73,1.0,1.0,1.0,1.0,1.0
74,0.48058458644840485,0.5314943889343681,0.8819371958107443,0.5082081674113434,0.6005560846512152
75,0.7112391445508529,1.0,1.0,0.8519245144003292,0.8907909147377956
76,0.9487375864225024,1.0,0.8899217702063432,1.0,0.9596648391572115
77,0.8180533977662491,1.0,1.0,1.0,0.9545133494415623
78,0.932976636142083,1.0,1.0,1.0,0.9832441590355208
79,0.8196671402450505,1.0,0.643013162760502,1.0,0.8656700757513882
80,0.9099894782053652,1.0,0.9118849024640673,0.6368499324082307,0.8646810782694159
81,0.8245622436120991,1.0,1.0,1.0,0.9561405609030248
82,0.6590449412086853,0.1700013334132759,1.0,0.44940237795179605,0.5696121631434393
83,1.0,1.0,1.0,0.7873637223583276,0.946840930589582
84,0.6043956298596483,1.0,1.0,0.6161741899275592,0.8051424549468018
85,0.863911483807301,1.0,1.0,0.4932680133844556,0.8392948742979391
86,0.9828050812974743,1.0,1.0,1.0,0.9957012703243686
87,0.9285276578029382,1.0,1.0,1.0,0.9821319144507346
88,0.9099894782053652,1.0,0.9118849024640673,0.6368499324082307,0.8646810782694159
89,0.7112391445508529,0.7777409522332431,1.0,0.8519245144003292,0.8352261527961063
90,0.2946624938856669,1.0,0.10531848125548786,0.430250218720235,0.45755779846534744
91,2.8571383333040967e-5,0.0,0.0,2.559519756873645e-5,1.3541645225444354e-5
92,1.0,1.0,1.0,1.0,1.0
93,1.0,1.0,1.0,0.8797279344836233,0.9699319836209058
94,0.7580243721225679,0.5663444919520774,1.0,0.26553673759642654,0.647476400417768
95,1.0,1.0,1.0,1.0,1.0
96,0.5955900565798119,0.0,0.08142480945924255,0.44098987274140683,0.2795011846951153
97,0.6848703393759991,1.0,1.0,1.0,0.9212175848439997
98,0.8180533977662491,1.0,1.0,1.0,0.9545133494415623
99,0.32552313674543626,1.0,0.9949225409697939,0.5310663946779489,0.7128780180982948
100,0.9509388344133466,1.0,1.0,0.7990815712982565,0.9375051014279008
101,0.9471303027520431,0.9777578483623003,0.8917078425203363,1.0,0.95414899840867
