Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
28,0.2744319156292174,0.4692204701601857,0.08060224928553426,0.3548685013445435,0.132504753701439,0.2058236794421851,0.06387628955043366,0.2744315725895801,0.029403393348671508,0.11483717494820947,0.8383627969694081
29,0.19213566855448716,0.4127310867337346,0.16583102020421117,0.3271389519235702,0.052764326659546196,0.30955063667078914,0.09606783427724355,0.22415571819181634,0.04974923641229756,0.169875520372304,0.8869038277844287
30,0.34017663877781595,0.3989044931851742,0.17008831938890798,0.29595297667475584,0.161903899377992,0.26216903898651134,0.02493063329913567,0.1804555375087584,1.1966999169833549e-6,0.1654172661010312,0.6057986249124624
31,0.12700834721922882,0.4034337417459229,0.17930426873164704,0.31378160738009925,0.1270072041692509,0.25400945512193096,0.0896521343658236,0.27215754816708254,9.525515546620492e-7,0.23364474054745896,0.9540541859249896
32,0.26568314022469147,0.4018250312994206,0.17148691550646775,0.23911482620222227,0.17148691550646777,0.24914033083575196,0.07255172515895712,0.2572241997595533,1.0289166914278326e-6,0.1714858865897764,0.637580549373449
33,0.18157941434413247,0.3659101924265188,0.1499993059078612,0.33749658206435557,0.10147076138818595,0.3375002382762025,0.0907896163830551,0.18157741698588792,8.624997214436708e-7,0.25367560972407915,0.9523200789540878
34,0.20966990978640007,0.4193385615558574,0.140822805402846,0.4288696189150325,0.1143643301324674,0.25038185972798954,1.034820455413264e-6,0.2112342081042689,9.435120780124055e-7,0.2253167280426045,1.0702819526915062
35,0.21470822499910228,0.47092587534481817,0.04911609764350763,0.3463598115112785,0.13194617428135288,0.2697614549604799,0.10720681861496276,0.12369972239255611,0.035784656453880355,0.25049116379806136,0.9224760560143881
36,0.3108012125556435,0.4661923395102343,0.1036003005848103,0.31079468580601455,0.1637986708524336,0.21839695381782928,0.06733945879010698,0.19109781233513146,0.0332996481681883,0.13467891757960787,0.6423214180976349
37,0.20838360774380044,0.36148119871300327,0.2083839203187432,0.3276323727473752,0.05119256340102983,0.31257572419064344,0.1041919601593716,0.14760528309441484,0.018074406958017344,0.26047896267360077,0.8195470828380751
38,0.3037041368082857,0.39613284238795754,0.15185206840414284,0.23767965720921172,0.07922760876062365,0.23768124174554134,0.07592618605368429,0.23307451656917705,0.05694455056483891,0.2277771914965372,0.6646908988168495
39,0.1732075001952658,0.31371701083584386,0.17320750019526585,0.37115756807718464,0.1732075001952658,0.20428116975737012,0.08660375009763288,0.28034322363067704,8.784087848266292e-7,0.22427389860670902,0.7875457418155696
40,0.3560685828869175,0.4154121523896092,0.15694025198583816,0.23737819476023833,0.17803438979281508,0.2373783704961903,0.05934485594228294,0.12206449011311167,0.08901719489640754,0.14836151673658932,0.3211894489914776
41,0.12180689953586633,0.4195533323939809,0.20410724914179557,0.2797036201078294,9.439957976613229e-7,0.39747105187314974,0.07452602717238038,0.2806476971903945,0.06992540680703754,0.1522577717817679,1.059266946694245
42,0.1638662922615361,0.33865641299669363,0.1472427848630739,0.2623403830025722,0.1638667019274716,0.38235454538827235,0.04769822110157694,0.2731110333238075,0.07362139243153697,0.14724223270345893,0.807409214829609
