Num,Q_1,Q_2,Q_3,Q_4,Average
53,0.2222516953269203,0.7321547835665317,0.5833279076482455,1.0,0.6344335966354244
54,1.0,0.7736494411984892,1.0,1.0,0.9434123602996223
55,0.9411329108095112,0.9033252357738781,1.0,1.0,0.9611145366458473
56,0.9166983446259446,0.9872570504712141,1.0,1.0,0.9759888487742897
57,1.0,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,1.0
59,1.0,0.7808837973010956,1.0,1.0,0.9452209493252739
60,0.4898059681880044,1.0,0.9243038395520892,1.0,0.8535274519350234
61,0.2222516953269203,1.0,1.0,1.0,0.8055629238317301
62,1.0,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0,1.0
64,1.0,0.7736494411984892,1.0,1.0,0.9434123602996223
65,0.0,0.6041204151671472,0.2589609944073332,0.8193933625880381,0.4206186930406296
66,1.0,1.0,0.9255004284657891,1.0,0.9813751071164473
67,0.2222516953269203,1.0,1.0,1.0,0.8055629238317301
68,0.0,1.0,0.7154795063347044,1.0,0.678869876583676
69,1.0,1.0,1.0,1.0,1.0
70,0.7252146361097991,0.9338244771930153,0.7832353209235253,1.0,0.8605686085565849
71,0.9166983446259446,0.9872570504712141,1.0,1.0,0.9759888487742897
72,0.7252146361097991,0.9338244771930153,0.7832353209235253,1.0,0.8605686085565849
73,1.0,0.9837911260239574,1.0,1.0,0.9959477815059894
74,0.5949366661399068,0.42733353727107765,0.6557528500068364,1.0,0.6695057633544552
75,1.0,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0,1.0
77,1.0,0.9495301080947842,1.0,0.8942231425921825,0.9609383126717417
78,1.0,0.9443779598806208,1.0,1.0,0.9860944899701551
79,0.29276264380704947,1.0,0.926104164311797,1.0,0.8047167020297116
80,6.66665611104289e-5,2.857138333304096e-5,2.559519756893471e-5,5.9722127660847654e-5,4.513881741831306e-5
81,1.0,0.8294918272182403,1.0,1.0,0.9573729568045601
82,1.0,0.9495301080947842,1.0,0.8942231425921825,0.9609383126717417
83,1.0,0.8537575955658003,1.0,1.0,0.96343939889145
84,1.0,0.6766066335099129,1.0,1.0,0.9191516583774783
85,1.0,0.9443779598806208,1.0,1.0,0.9860944899701551
86,1.0,1.0,1.0,0.2139412829839584,0.8034853207459896
87,1.0,0.9566334835611815,1.0,1.0,0.9891583708902953
88,1.0,0.8537575955658003,1.0,1.0,0.96343939889145
89,1.0,1.0,1.0,1.0,1.0
90,0.0,0.6041204151671472,0.2589609944073332,0.8193933625880381,0.4206186930406296
91,6.66665611104289e-5,2.857138333304096e-5,2.559519756893471e-5,5.9722127660847654e-5,4.513881741831306e-5
92,1.0,1.0,1.0,1.0,1.0
93,1.0,0.9350667766047941,1.0,1.0,0.9837666941511986
94,1.0,0.7808837973010956,1.0,1.0,0.9452209493252739
95,0.7118216220543835,0.7619619373732949,1.0,1.0,0.8684458898569196
96,0.5949366661399068,0.42733353727107765,0.6557528500068364,1.0,0.6695057633544552
97,1.0,0.9837911260239574,1.0,1.0,0.9959477815059894
98,1.0,0.8537575955658003,1.0,1.0,0.96343939889145
99,1.0,0.9999983887222217,1.0,1.0,0.9999995971805554
100,1.0,1.0,1.0,1.0,1.0
101,1.0,1.0,1.0,1.0,1.0
102,1.0,0.9495301080947842,1.0,0.8942231425921825,0.9609383126717417
103,1.0,1.0,0.6092089877435156,1.0,0.9023022469358789
104,0.2222516953269203,1.0,1.0,1.0,0.8055629238317301
105,0.2222516953269203,1.0,1.0,1.0,0.8055629238317301
106,1.0,1.0,1.0,1.0,1.0
107,1.0,1.0,1.0,1.0,1.0
108,0.7252146361097991,0.9338244771930153,0.7832353209235253,1.0,0.8605686085565849
109,1.0,0.7808837973010956,1.0,1.0,0.9452209493252739
110,0.5949366661399068,0.42733353727107765,0.6557528500068364,1.0,0.6695057633544552
111,1.0,1.0,0.9255004284657891,1.0,0.9813751071164473
112,1.0,1.0,1.0,1.0,1.0
113,0.26857169264796293,0.6659916911595837,0.7718206185372767,0.2742944714253385,0.4951696184425405
114,1.0,1.0,1.0,1.0,1.0
115,1.0,0.37244649500502636,0.7015382971430263,0.05047686461862484,0.5311154141916694
116,0.0,0.6041204151671472,0.2589609944073332,0.8193933625880381,0.4206186930406296
117,1.0,0.9258891041303479,0.993249318969875,1.0,0.9797846057750557
118,1.0,1.0,1.0,1.0,1.0
119,0.7118216220543835,0.7619619373732949,1.0,1.0,0.8684458898569196
