Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
85,0.1934722296375292,0.32245398423167326,8.061359308616705e-7,0.43664847296478093,0.09673726295175714,0.29020949258928636,0.0634040822923182,0.37136039991572045,8.061359309287948e-7,0.22571246314507268,1.2927696256930674
86,0.08341060496496731,0.417048770925459,0.08341060496496741,0.41704699846738497,0.06646774749514171,0.25022820742141016,0.044311831663427816,0.2835870629222046,0.022155915831713877,0.33233225534332306,1.4004865901595638
87,0.18028396656299345,0.3605590090830281,0.09014502556886898,0.2704245301103831,0.18028396656299342,0.36055900908302796,0.045071397279064666,0.1521151683687895,0.0901415776431804,0.2704163497376702,0.828148132765798
88,0.16953370239041896,0.39556874946972864,0.11692146450865759,0.35075888369441943,0.0847676988616023,0.3178648312563782,0.07064020820396463,0.23088210666473288,8.47666392786961e-7,0.2630615072837047,1.1162721567379277
89,0.12844369268011616,0.26426887573431196,0.1467939646659079,0.40368135002614003,0.09775359186684326,0.29325841674084385,0.06880982489752732,0.36238856792649116,1.0971889363063845e-6,0.23460061827288173,1.1163956574013376
90,0.27303509824908073,0.5007671322189216,0.09101280368773802,0.2650242251695699,0.1365183773280737,0.33673300807788903,0.048151139087829545,0.1718855216528149,0.031253368112648436,0.1456193264154341,0.840058427069259
91,0.15370768754273242,0.37100312380251527,0.07950328729280288,0.33814451628594655,0.040449431907297356,0.23054906265868114,0.07950367155529715,0.2831298843263226,0.053002191528535234,0.3710071430998692,1.18766746034667
92,0.2041577109564816,0.3572548642258164,0.2624870199807788,0.41996091934762503,0.10207885547824087,0.2598101686699546,0.046399785101685805,0.1903026531067031,0.029636351927249442,0.1279116712054639,0.7104805531111266
93,0.17300693182350796,0.3892597575897486,0.11449119513174949,0.29767091798861595,0.11448978403690635,0.27248239475076136,0.08650346591175395,0.34601152804175844,7.785350858819941e-7,0.20608324619011176,1.0230156891219926
94,0.17630971391149056,0.4407703177982624,0.17631050730758335,0.35261228725814586,0.08815485695574529,0.264467744451607,0.08815485695574528,0.26445637244094305,7.933960927907793e-7,0.14876254952438417,0.9421385429466853
95,0.18349591837787735,0.36698596965592833,0.16733594798418455,0.3012052863450244,0.09174795918893867,0.3069935599663254,1.441191672562881e-6,0.3069998948747759,8.868871830682805e-7,0.2752331355280899,1.1148356927402878
96,0.1614983363714003,0.36336076260856864,0.08299182510048649,0.29876764858615545,0.04979514485496367,0.34856302630443736,0.014503386348685535,0.34856003862412877,0.04149591255024322,0.29046391865093085,1.2994307895484418
97,0.1744088289508274,0.3970575281260479,0.08720556993432275,0.29146486068508504,0.08957138227003018,0.27065067931204934,0.08327893284873643,0.28661753393922607,0.029068523311440896,0.2906761606222342,1.0729335253692849
98,0.18278310162688552,0.3655538655239573,0.07477279907328276,0.28471733943007743,0.12036964447910892,0.3209727777032415,0.06018482223955447,0.29908982543426366,0.03847982377612167,0.2530760007135068,1.0468196176100935
99,0.10539510345162197,0.31617345362507715,0.18598829023162272,0.5269622904173233,0.09880704987298584,0.309295670543854,0.03293462935945853,0.19196644941937943,7.904486525878823e-7,0.23247627263002424,1.1537482732713165
100,0.14871839379685833,0.36117185809638697,0.08970326868950051,0.26910930149184115,0.09315356130676129,0.30273837722176944,0.06210237420450759,0.24840147252010727,0.06373668514798408,0.3611647075242832,1.0851714337087761
101,0.16457004097449807,0.4042704316691427,0.08228579534176962,0.3154275350886685,0.059099747148187894,0.2877962003830795,0.0548571968945131,0.30993655645496254,7.748545206175594e-7,0.32175572119065743,1.2783728895730215
102,0.284202499127168,0.42628584418397036,0.142099544372462,0.25834370205849483,0.142099544372462,0.25834370205849494,0.05167709584819712,0.2131471850697904,0.053288407571558435,0.17051247533740177,0.6532658174163049
103,0.24144005082061035,0.40469884889201474,0.12072116362931362,0.36216121444992394,0.12072116362931336,0.3621553968861027,1.0402057049779052e-6,0.17134467489038532,0.01686274713098433,0.19989369946564667,1.0005076691681467
104,7.922919173198739e-7,0.3241197208230211,0.1980731773972522,0.39613684729149645,0.10803902661665443,0.22636682158118002,0.09903658869862603,0.3961397617939066,1.3072816635887873e-6,0.25208595622428204,1.1896982154277727
105,0.1853745707241623,0.48196516673625295,0.12031504672285735,0.3609434718151621,0.043253399160940426,0.32749240558056364,9.835814880464616e-7,0.25782661559662795,0.030334067428405453,0.19249427265353952,1.2414438647642927
106,0.16127385450845427,0.3762987003329292,0.16127205080150983,0.3336623767755589,0.14230083233524674,0.2608660172634086,1.7279209382309117e-6,0.2687880811276362,0.047433610778415555,0.24810274815590233,0.9754358473108706
107,0.13351510207506373,0.4126757624086475,0.13351510207506367,0.3843546583261807,0.10924036275001099,0.3398474723210484,1.7757464007701113e-6,0.25624128182884925,8.071574548578271e-7,0.23060767531127993,1.2474537003920119
108,0.1930929066195662,0.386178427538854,0.09479036812487339,0.30076474214780125,0.12238211888497358,0.39161286700533904,8.689059151061057e-7,0.23696114891162373,0.04895284755398948,0.22526370430706388,1.0815617798213641
109,0.18324806822798548,0.45811212300745063,0.09162403411399278,0.36649224247410994,0.08198068327495826,0.2191581848483292,0.07044433408037026,0.24592621429863845,0.035222167040185146,0.2477919486339799,1.0749614265250163
110,0.18308167393599967,0.366157605823157,0.1525680540754621,0.30513125255574614,0.09154083696799985,0.305129630233548,1.5256651515481944e-6,0.3051331610586126,9.153990908628574e-7,0.29125534428523225,1.145613987912592
111,0.18859969071604857,0.3886204213821436,0.13359000316306985,0.3300332778257616,0.047149672200261096,0.26716718181408095,0.04453026823169116,0.23573473495724448,0.089058933399375,0.27551581631032396,0.9941428645791089
112,0.16949287237454552,0.40343961757804947,0.08474720597116167,0.32486295770780416,0.05959683967328837,0.2643225785838567,0.05649813731410788,0.3195280355658226,0.004637639337833093,0.3128741158935304,1.250054610658127
113,0.18134310769345502,0.4835720376212353,0.14608129537032957,0.32136412487904986,0.09067155384672751,0.31649986849563033,0.06351449586968876,0.2191228195397605,8.76484266285788e-7,0.17782982019985683,1.036777341471066
114,0.15126827565758197,0.40337341931305704,0.05042327958307922,0.32564511529226126,0.0976942379789235,0.3907693969726912,1.7584781127415367e-6,0.31840187881731297,0.03256474599297448,0.22985789191400552,1.336095404618656
115,0.16707541893972236,0.43187381606442365,0.1070808544424063,0.3212331404601635,0.09815551952652428,0.2840099946545535,0.04907775976326214,0.25799771857598347,0.033653537856034234,0.24984223971692687,1.0899138189441018
116,0.0922265138512733,0.36434343475825287,7.37797846719221e-7,0.3688944965721612,0.0768546340519899,0.322781347242044,0.05506011708974718,0.35835355414283343,0.009108481709260338,0.35237668278459094,1.533499030999765
117,0.163453394637707,0.27542153287810966,0.16345497468504808,0.35414016604888693,0.163453394637707,0.33263060244954884,0.08172748734252398,0.2521356418111343,0.011880474632764116,0.2017023308765699,0.8320605481284995
118,0.09691997359401366,0.48459223559656334,7.268927147518602e-7,0.29700947042095605,0.04845998679700681,0.41536226385791986,0.05192190334724995,0.3230573713389923,7.268927147518602e-7,0.2826753412618684,1.6053933649526002
119,0.2443770833495966,0.3801417094289243,8.824746079083663e-7,0.29415834973125826,0.12313747970111402,0.23968468083543834,0.07059782226346176,0.3676924216977733,0.05447355602116066,0.22573601449666478,1.014826352380118
120,0.11809186303428305,0.35427248500666314,0.11809031098619004,0.37113644688287617,0.11809031098619002,0.37113644688287617,0.08357276356049512,0.2507158887022938,0.023877932445855683,0.19101555151227684,1.0765536379739722
121,0.17671098774412794,0.31906030158711185,0.17671251923793305,0.3828666415757845,0.06658788091060244,0.275669433537723,0.08835511099861272,0.29963255735938715,7.657469025079583e-7,0.21440380130181513,0.983265470723643
122,0.16788300651358137,0.47565945669115556,0.09569369503177012,0.31547013361717186,0.07249494506665231,0.2658033807324559,0.04197075162839534,0.3417514367456944,7.974352312586694e-7,0.22327239653789174,1.2439136086487392
123,0.10004337759115127,0.4335127125946901,0.10004491157334744,0.3539953037944447,0.08217859465340685,0.3013140142606437,0.04948377911331569,0.2739257939333799,0.03334779253038373,0.27215371995523646,1.26980308907679
124,0.18493984757205847,0.40787950419697916,0.09247063272120667,0.3038305698522208,0.0524418347986211,0.3421328200134537,0.03375883967635362,0.27006479273479456,0.007769235534947748,0.30471192289936444,1.257239219393625
125,0.13895961449016278,0.3057002264013252,0.05095266174052976,0.43076679824079994,0.11116769159213027,0.4585586701872407,0.05095266174052976,0.24391758051308102,0.013895961449016232,0.1951281336451843,1.2681428179752623
126,0.16990791078868847,0.4530786324870152,7.36259367313473e-7,0.3116110461366401,0.0662635123978008,0.2863156783375422,0.07362604307984898,0.4049377968005104,7.36259367313473e-7,0.23425790745321928,1.3804021224298544
127,0.19214267992612563,0.34222976797689586,0.21615851547011788,0.43230449386857506,0.08646354308710553,0.28819499812528954,0.045033760339039094,0.21613925953677673,0.019214959693118018,0.16211802197695668,0.8819730829689877
128,0.1991012822006026,0.398193007549216,0.1991012822006026,0.398193007549216,0.10751459823373861,0.253395526987037,0.05556391251362662,0.20372608318834884,7.964043323988744e-7,0.18521050317327903,0.877436256894194
129,0.09631278994463424,0.385247548083225,0.09631134526650952,0.26266785345055943,0.0963127899446342,0.3852446587269756,0.04377890728779686,0.34611469093135305,0.02188945364389848,0.26611996272041355,1.2907894278250536
130,0.1270216333603168,0.27521525137725694,0.225173750442377,0.5398324011004532,1.3760597441554533e-6,0.2594723809000985,0.045869758986773805,0.2293339334886314,0.03538451136947584,0.2626950029148725,1.1330979395626248
131,0.26820920037441665,0.4388778928405061,0.13048114010906633,0.2681956692398781,0.1341041978739911,0.2925834429502766,9.655517212921698e-7,0.2011567795868473,0.06524057005453317,0.2011501414187635,0.8039278520725431
132,0.21625279127677557,0.3928234816256557,0.10812718856440179,0.32437997984117745,0.06517278104445291,0.24696772388317356,0.07208479237626789,0.32437252256080756,7.929260140270021e-7,0.2498179459012738,1.076723307624176
133,0.15207906611280056,0.40741647188776886,0.15208220909195294,0.3142979559926256,0.0873059149869145,0.28286863954361613,0.07604071167358244,0.2788037637589194,0.029102102619769536,0.22000316433205025,1.0067799910299602
134,0.15389665175572714,0.46957139226546796,0.11048933910459866,0.3141936245693106,0.04488675284626427,0.3334322521133037,0.044887111934541646,0.25933341825214273,7.181765547160714e-7,0.26930873898208846,1.291678852364627
