Num,R_1,R_2,R_3,R_4,Average
39,0.5828042682519459,1.0,1.0,1.0,0.8957010670629865
40,0.0,1.0,0.6270725652556367,1.0,0.6567681413139091
41,1.0,1.0,1.0,1.0,1.0
42,0.6088407398433827,1.0,1.0,1.0,0.9022101849608457
43,0.0,1.0,0.6270725652556367,1.0,0.6567681413139091
44,0.8726636504608883,1.0,1.0,1.0,0.9681659126152221
45,0.0,0.8756311238504993,0.9650805350562386,0.6740533880414762,0.6286912617370535
46,0.6579515765074422,1.0,1.0,0.49996673582628065,0.7894795780834307
47,0.44328162972811885,1.0,1.0,1.0,0.8608204074320297
48,0.5051370896960361,0.9089986058977918,1.0,0.0,0.603533923898457
49,0.03233995400038447,0.9260421041821969,1.0,0.22592567799496618,0.5460769340443868
50,0.5828042682519459,1.0,1.0,1.0,0.8957010670629865
51,1.0,1.0,1.0,1.0,1.0
52,0.6826891579324802,1.0,1.0,0.6058824003918446,0.8221428895810812
53,0.5828042682519459,0.8020980465939362,1.0,1.0,0.8462255787114705
54,0.6088407398433827,1.0,1.0,1.0,0.9022101849608457
55,0.8309081946003793,0.2570243217563355,1.0,1.0,0.7719831290891788
56,0.39159676155219175,1.0,1.0,1.0,0.847899190388048
57,0.0,0.0,1.0,0.6975062809228094,0.42437657023070235
58,0.0,0.0,1.0,0.6975062809228094,0.42437657023070235
59,1.0,0.8667907218841525,1.0,0.5763406077966551,0.8607828324202018
60,0.44328162972811885,1.0,1.0,1.0,0.8608204074320297
61,0.5828042682519459,1.0,1.0,1.0,0.8957010670629865
62,0.30034708432073626,0.9884817304671394,1.0,0.6210160771797006,0.7274612229918942
63,0.5891880386102523,0.8291219113004511,0.9470602425922224,0.604151900746764,0.7423805233124223
64,0.6088407398433827,1.0,1.0,1.0,0.9022101849608457
65,0.3425337875777506,1.0,1.0,0.6941303055124837,0.7591660232725586
66,0.0,1.0,1.0,0.5374061250365675,0.6343515312591419
67,0.5828042682519459,1.0,1.0,1.0,0.8957010670629865
68,0.22717646040164105,1.0,1.0,0.14716027971687035,0.593584185029628
69,0.5418246775591424,0.8726085217528496,0.9263003489293397,0.610050130271057,0.7376959196280972
70,0.17501622896601693,1.0,1.0,1.0,0.7937540572415043
71,0.39159676155219175,1.0,1.0,1.0,0.847899190388048
72,0.17501622896601693,1.0,1.0,1.0,0.7937540572415043
73,0.22372635184014888,0.79865998119437,1.0,0.6058843008007522,0.6570676584588178
74,0.8726636504608883,1.0,1.0,1.0,0.9681659126152221
75,0.5891880386102523,0.8291219113004511,0.9470602425922224,0.604151900746764,0.7423805233124223
76,0.4388771143074746,1.0,0.867035127523812,1.0,0.8264780604578217
77,1.0,1.0,1.0,0.8594315888702085,0.9648578972175521
78,1.0,0.8172659517158651,1.0,0.5686505969940169,0.8464791371774705
79,0.5297726952021264,0.884388516359343,1.0,0.6832899140533061,0.774362781403694
80,1.0,1.0,1.0,1.0,1.0
81,1.0,0.86203108306808,0.9567576042452755,1.0,0.9546971718283388
82,1.0,1.0,1.0,0.8594315888702085,0.9648578972175521
83,1.0,1.0,1.0,0.20642513870457252,0.8016062846761431
84,0.38249668717552177,0.7625928005744735,1.0,0.0,0.5362723719374989
85,1.0,0.8172659517158651,1.0,0.5686505969940169,0.8464791371774705
86,0.0,1.0,1.0,0.27740456949431486,0.5693511423735788
87,1.0,1.0,1.0,0.0,0.75
88,1.0,1.0,1.0,1.0,1.0
89,0.5147820214627187,0.8081200425918044,1.0,0.604151900746764,0.7317634912003217
90,0.3425337875777506,1.0,1.0,0.6941303055124837,0.7591660232725586
91,1.0,1.0,1.0,1.0,1.0
92,0.0,0.7708172854570029,0.9183772050982223,0.6661163359946829,0.588827706637477
93,0.6579515765074422,1.0,1.0,0.49996673582628065,0.7894795780834307
94,1.0,0.8667907218841525,1.0,0.5763406077966551,0.8607828324202018
95,0.6060839353108358,1.0,1.0,1.0,0.901520983827709
96,0.8726636504608883,1.0,1.0,1.0,0.9681659126152221
97,0.22372635184014888,0.79865998119437,1.0,0.6058843008007522,0.6570676584588178
98,1.0,1.0,1.0,1.0,1.0
99,0.5051370896960367,0.2335828908822439,1.0,0.0,0.4346799951445701
100,0.5891880386102523,0.8291219113004511,0.9470602425922224,0.604151900746764,0.7423805233124223
101,0.4388771143074746,1.0,0.867035127523812,1.0,0.8264780604578217
102,1.0,1.0,1.0,0.8594315888702085,0.9648578972175521
103,0.0,1.0,0.6270725652556367,1.0,0.6567681413139091
104,0.5828042682519459,1.0,1.0,1.0,0.8957010670629865
105,0.5828042682519459,1.0,1.0,1.0,0.8957010670629865
106,0.6826891579324802,1.0,1.0,0.6058824003918446,0.8221428895810812
